1000,2,8,19,22,32,42,39,1246819620,41941945,1137798,50000,5000
1001,6,10,12,14,20,42,15,2077279594,62947867,1504730,50000,5000
1002,17,25,33,35,38,45,15,3088449563,48446268,1289676,50000,5000
1003,1,4,29,39,43,45,31,1811116822,64029383,1595297,50000,5000
1004,7,15,30,37,39,44,18,2576251913,63143430,1541743,50000,5000
1005,8,13,18,24,27,29,17,2061199344,49076175,1473338,50000,5000
1006,8,11,15,16,17,37,36,2855602125,65898511,1722318,50000,5000
1007,8,11,16,19,21,25,40,2718786375,58259709,1433960,50000,5000
1008,9,11,30,31,41,44,33,2267377910,42854222,1470935,50000,5000
1009,15,23,29,34,40,44,20,1702462825,61683436,1617081,50000,5000
1010,9,12,15,25,34,36,3,3119380079,63017780,1495568,50000,5000
1011,1,9,12,26,35,38,42,2220348512,53561039,1444514,50000,5000
1012,5,11,18,20,35,45,3,1861944318,53081746,1399797,50000,5000
1013,21,22,26,34,36,41,32,5047570725,53244417,1626570,50000,5000
1014,3,11,14,18,26,27,21,2410449338,58223414,1410115,50000,5000
1015,14,23,31,33,37,40,44,3051105610,39883734,1412549,50000,5000
1016,15,26,28,34,41,42,44,2260660671,60949185,1543018,50000,5000
1017,12,18,22,23,30,34,32,3517684822,58628081,1580881,50000,5000
1018,3,19,21,25,37,45,35,12361744688,66460993,1530109,50000,5000
1019,1,4,13,17,34,39,6,438565140,48729460,627634,50000,5000
1020,12,27,29,38,41,45,6,1966431520,55332489,1512461,50000,5000
1021,12,15,17,24,29,45,16,2108962250,75320081,1713907,50000,5000
1022,5,6,11,29,42,45,28,4866468075,64371271,1571857,50000,5000
1023,10,14,16,18,29,35,25,2745677875,57201623,1643463,50000,5000
1024,9,18,20,22,38,44,10,3020323500,63922191,1539411,50000,5000
1025,8,9,20,25,29,33,7,6118853344,59119356,1527232,50000,5000
1026,5,12,13,31,32,41,34,1619118475,53260477,1452907,50000,5000
1027,14,16,27,35,39,45,5,2460504338,49407718,1518830,50000,5000
1028,5,7,12,13,18,35,23,1181235132,43268687,1401228,50000,5000
1029,12,30,32,37,39,41,24,2527848450,67952916,1611738,50000,5000
1030,2,5,11,17,24,29,9,1276406507,38864942,1233055,50000,5000
1031,6,7,22,32,35,36,19,3213957563,66957450,1536493,50000,5000
1032,1,6,12,19,36,42,28,2675257538,49541807,1448591,50000,5000
1033,3,11,15,20,35,44,10,1913414943,52477625,1344708,50000,5000
1034,26,31,32,33,38,40,11,2868856209,65201278,1484916,50000,5000
1035,9,14,34,35,41,42,2,3231193735,60679695,1512732,50000,5000
1036,2,5,22,32,34,45,39,2837323167,66499762,1641337,50000,5000
1037,2,14,15,22,27,33,31,1708576825,54762078,1574435,50000,5000
1038,7,16,24,27,37,44,2,1627457225,52839521,1209466,50000,5000
1039,2,3,6,19,36,39,26,1585019672,52833990,1524241,50000,5000
1040,8,16,26,29,31,36,11,3660482625,67786716,1653335,50000,5000
1041,6,7,9,11,17,18,45,935091165,45837803,987133,50000,5000
1042,5,14,15,23,34,43,4,1240663669,41355456,1159391,50000,5000
1043,3,5,12,22,26,31,19,1468646956,48385656,1318494,50000,5000
1044,12,17,20,26,28,36,4,3136941235,58091505,1610547,50000,5000
1045,6,14,15,19,21,41,37,1990060443,64355189,1597554,50000,5000
1046,7,16,25,29,35,36,28,2011415719,70575991,1359524,50000,5000
1047,2,20,33,40,42,44,32,2748797875,49677071,1511436,50000,5000
1048,6,12,17,21,32,39,30,1612494508,44791515,1196944,50000,5000
1049,3,5,13,20,21,37,17,1727810100,48533992,1455366,50000,5000
1050,6,12,31,35,38,43,17,1535083280,62134324,1517587,50000,5000
1051,21,26,30,32,33,35,44,1669558480,71552507,1773611,50000,5000
1052,5,17,26,27,35,38,1,2341682762,39750788,1467220,50000,5000
1053,22,26,29,30,34,45,15,4090367411,74563990,1766135,50000,5000
1054,14,19,27,28,30,45,33,3147925709,71543767,1739827,50000,5000
1055,4,7,12,14,22,33,31,2362815205,47085086,1269215,50000,5000
1056,13,20,24,32,36,45,29,1969662456,56739248,1425964,50000,5000
1057,8,13,19,27,40,45,12,1616069714,6895880,1545870,50000,5000
1058,11,23,25,30,32,40,42,2058020250,74317398,1450568,50000,5000
1059,7,10,22,25,34,40,27,2033168481,53074680,1408762,50000,5000
1060,3,10,24,33,38,45,36,898238907,43664392,912646,50000,5000
1061,4,24,27,35,37,45,15,2422768773,44866089,1479102,50000,5000
1062,20,31,32,40,41,45,12,3801933804,65229257,1662515,50000,5000
1063,3,6,22,23,24,38,30,3770311875,79976313,1625535,50000,5000
1064,3,6,9,18,22,35,14,1348168106,68858049,1295267,50000,5000
1065,3,18,19,23,32,45,24,1852593938,58415125,1386821,50000,5000
1066,6,11,16,19,21,32,45,1670947250,47470093,1257108,50000,5000
1067,7,10,19,23,28,33,18,1981114010,52346509,1166734,50000,5000
1068,4,7,19,26,33,35,3,1363929514,49644944,1386998,50000,5000
1069,1,10,18,22,28,31,44,1863217554,55031743,1446277,50000,5000
1070,3,6,14,22,30,41,36,1859116929,68856183,1476495,50000,5000
1071,1,2,11,21,30,35,39,5183979750,52047990,1494287,50000,5000
1072,16,18,20,23,32,43,27,2175006375,46774331,1514629,50000,5000
1073,6,18,28,30,32,38,15,2345227603,69348129,1436067,50000,5000
1074,1,6,20,27,28,41,15,2134763657,54737530,1574891,50000,5000
1075,1,23,24,35,44,45,10,2896337167,27153161,1579821,50000,5000
1076,3,7,9,33,36,37,10,2672689750,46616682,1289494,50000,5000
1077,4,8,17,30,40,43,34,3570901018,42510727,1287806,50000,5000
1078,6,10,11,14,36,38,43,2141604938,55626103,1591680,50000,5000
1079,4,8,18,24,37,45,6,2712329417,47864637,1266655,50000,5000
1080,13,16,23,31,36,44,38,3639444429,51780714,1561037,50000,5000
1081,1,9,16,23,24,38,17,2343892944,46708012,1470112,50000,5000
1082,21,26,27,32,34,42,31,3720489643,70009214,1568126,50000,5000
1083,3,7,14,15,22,38,17,1713084525,59482102,1308098,50000,5000
1084,8,12,13,29,33,42,5,1738764600,40625342,1447523,50000,5000
1085,4,7,17,18,38,44,36,1073277473,51427879,1185316,50000,5000
1086,11,16,25,27,35,36,37,1515913809,64105808,1313483,50000,5000
1087,13,14,18,21,34,44,16,1732253602,65061169,1545448,50000,5000
1088,11,21,22,30,39,44,31,2434697898,47485243,1492348,50000,5000
1089,4,18,31,37,42,43,40,2978522167,56554219,1581517,50000,5000
1090,12,19,21,29,40,45,1,2386494614,49718638,1492747,50000,5000
1091,6,20,23,24,28,30,44,2898470459,66887780,1513299,50000,5000
1092,7,18,19,26,33,45,37,1583289844,50263170,1269044,50000,5000
1093,10,17,22,30,35,43,44,1967040750,65568025,1455575,50000,5000
1094,6,7,15,22,26,40,41,2112854469,48571368,1550719,50000,5000
1095,8,14,28,29,34,40,12,2617825575,76544608,1688484,50000,5000
1096,1,12,16,19,23,43,34,2539391175,49791984,1447442,50000,5000
1097,14,33,34,35,37,40,4,3864293090,67288686,1713547,50000,5000
1098,12,16,21,24,41,43,15,1930461895,61509816,1472771,50000,5000
1099,3,20,28,38,40,43,4,2959934125,62533820,1643800,50000,5000
1100,17,26,29,30,31,43,12,2207575472,59050373,1667160,50000,5000
1101,6,7,13,28,36,42,41,2100529500,60681964,1353300,50000,5000
1102,13,14,22,26,37,38,20,1383591413,73205895,1516099,50000,5000
1103,10,12,29,31,40,44,2,1574419633,58695469,1533468,50000,5000
1104,1,7,21,30,35,38,2,1817193100,59776089,1514328,50000,5000
1105,6,16,34,37,39,40,11,1834853800,55266681,1582863,50000,5000
1106,1,3,4,29,42,45,36,2790462819,76355948,1516257,50000,5000
1107,6,14,30,31,40,41,29,2025625233,57639743,1407942,50000,5000
1108,7,19,26,37,39,44,27,1957990849,47590056,1415757,50000,5000
1109,10,12,13,19,33,40,2,1584352875,53440474,1341202,50000,5000
1110,3,7,11,20,22,41,24,1647392719,37229214,1202258,50000,5000
1111,3,13,30,33,43,45,4,1714662540,47138490,897260,50000,5000
1112,16,20,26,36,42,44,24,2804455650,79221912,1519043,50000,5000
1113,11,13,20,21,32,44,8,1987426822,81356654,1579472,50000,5000
1114,10,16,19,32,33,38,3,1583813824,50994006,1393193,50000,5000
1115,7,12,23,32,34,36,8,2257278282,75242610,1454901,50000,5000
1116,15,16,17,25,30,31,32,2695000238,39400589,1550991,50000,5000
1117,3,4,9,30,33,36,7,3028385542,48325302,1437071,50000,5000
1118,11,13,14,15,16,45,3,1477445132,64980226,1329897,50000,5000
1119,1,9,12,13,20,45,3,1396028764,45574823,1422381,50000,5000
1120,2,19,26,31,38,41,34,2522163375,50812816,1516552,50000,5000
1121,6,24,31,32,38,44,8,2524513262,60898347,1565723,50000,5000
1122,3,6,21,30,34,35,22,2556266046,47338261,1598393,50000,5000
1123,13,19,21,24,34,35,26,1731310711,59958813,1567684,50000,5000
1124,3,8,17,30,33,34,28,2623327913,50255324,1400005,50000,5000
1125,6,14,25,33,40,44,30,2195289188,56289467,1432022,50000,5000
1126,4,5,9,11,37,40,7,2386382421,48077302,1404957,50000,5000
1127,10,15,24,30,31,37,32,2267891969,53997428,1508409,50000,5000
1129,5,10,11,17,28,34,22,2369567660,40600069,1382625,50000,5000
1130,15,19,21,25,27,28,40,2263301219,65602934,1560898,50000,5000
1131,1,2,6,14,27,38,33,1542367898,78036471,1527453,50000,5000
1132,6,7,19,28,34,41,5,2404951807,60398334,1428736,50000,5000
1133,13,14,20,28,29,34,23,2105079491,62479529,1666426,50000,5000
1139,5,12,15,30,37,40,18,2167490972,62616406,1449454,50000,5000
1140,7,10,22,29,31,38,15,2279823938,54935517,1363124,50000,5000
